timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1752139350.732748 -0.07110323 -0.37996535 0.06622994 -0.00417372 -0.00319808 -0.00820252
1752139352.726461 -0.07101072 -0.38053921 0.06631440 -0.00417484 -0.00319444 -0.00820298
1752139355.635455 -0.07158315 -0.37787468 0.06591501 -0.00417004 -0.00320612 -0.00820136
1752139357.850271 -0.86405497 0.57685966 -0.10785554 -0.00450220 -0.00235087 -0.00838332
1752139359.449163 -0.48459974 -0.38199975 0.04519279 -0.00513153 -0.00239062 -0.00842371
1752139360.583212 -0.21161699 -0.56803411 0.08486474 -0.00492564 -0.00250157 -0.00862999
1752139361.419826 -0.15596379 -0.58180097 0.08951559 -0.00466587 -0.00284039 -0.00916419
1752139362.588233 -0.15596379 -0.58180097 0.08951559 -0.00466587 -0.00284039 -0.00916419
1752139363.253094 -0.15596379 -0.58180097 0.08951559 -0.00466587 -0.00284039 -0.00916419
1752139367.233825 -0.15596379 -0.58180097 0.08951559 -0.00466587 -0.00284039 -0.00916419
1752139369.064713 0.47454149 -0.44207513 0.10312545 -0.00479699 -0.00270374 -0.00896334
1752139370.475915 -0.24355501 -0.64802408 0.09390658 -0.00476246 -0.00293177 -0.00897879
1752139371.902250 -0.35695347 -0.75785639 0.10320020 -0.00474468 -0.00298796 -0.00882055
1752139374.037509 -0.35695347 -0.75785639 0.10320020 -0.00474468 -0.00298796 -0.00882055
1752139375.404036 -0.29695148 -0.77992376 0.10817032 -0.00469922 -0.00303738 -0.00870120
1752139377.553360 -0.29695148 -0.77992376 0.10817032 -0.00469922 -0.00303738 -0.00870120
1752139378.123197 -0.29695148 -0.77992376 0.10817032 -0.00469922 -0.00303738 -0.00870120
1752139382.621854 0.21298596 -0.48719638 0.09502263 -0.00468008 -0.00308266 -0.00867694
1752139383.396240 0.21298596 -0.48719638 0.09502263 -0.00468008 -0.00308266 -0.00867694
1752139385.964811 0.39774886 -0.37177265 0.08867915 -0.00458203 -0.00310196 -0.00860653
1752139388.627339 0.39774886 -0.37177265 0.08867915 -0.00458203 -0.00310196 -0.00860653
1752139390.794839 -0.68219536 -0.34094924 0.02859607 -0.00436209 -0.00319247 -0.00846067
1752139392.787014 -1.05750845 -0.47368440 0.02811476 -0.00449910 -0.00326056 -0.00851636
1752139399.661349 0.95261150 -0.45974340 0.13219971 -0.00436964 -0.00326771 -0.00851695
1752139400.030786 0.95261150 -0.45974340 0.13219971 -0.00436964 -0.00326771 -0.00851695
1752139400.367272 0.76005658 -0.45231070 0.12044102 -0.00437003 -0.00326775 -0.00851748
1752139403.515610 0.76005658 -0.45231070 0.12044102 -0.00437003 -0.00326775 -0.00851748
1752139406.781304 0.76005658 -0.45231070 0.12044102 -0.00437003 -0.00326775 -0.00851748
1752139411.781643 0.67800840 -0.74177065 0.15969895 -0.00428361 -0.00338323 -0.00842718
1752139414.669567 0.01406321 -0.48480731 0.08396632 -0.00431772 -0.00335028 -0.00850420
1752139414.933757 1.04931400 -0.52578405 0.14591853 -0.00412091 -0.00354130 -0.00863240
1752139415.858814 1.04931400 -0.52578405 0.14591853 -0.00412091 -0.00354130 -0.00863240
1752139418.602807 1.04931400 -0.52578405 0.14591853 -0.00412091 -0.00354130 -0.00863240
1752139418.976042 1.04931400 -0.52578405 0.14591853 -0.00412091 -0.00354130 -0.00863240
1752139420.813680 0.21578906 -0.69608628 0.12329461 -0.00423769 -0.00336791 -0.00843512
1752139421.082308 0.21578906 -0.69608628 0.12329461 -0.00423769 -0.00336791 -0.00843512
1752139425.684642 -0.09222765 -0.61156957 0.09596135 -0.00426671 -0.00335424 -0.00843080
1752139426.885842 -0.09222765 -0.61156957 0.09596135 -0.00426671 -0.00335424 -0.00843080
1752139427.382953 -0.09222765 -0.61156957 0.09596135 -0.00426671 -0.00335424 -0.00843080
1752139429.688862 -0.09222765 -0.61156957 0.09596135 -0.00426671 -0.00335424 -0.00843080
1752139433.849718 -0.09222765 -0.61156957 0.09596135 -0.00426671 -0.00335424 -0.00843080
1752139434.250622 -0.63840538 -0.71549593 0.08347016 -0.00434510 -0.00339210 -0.00848209
